system,temp,input_seed,degree,kind,config,capacity,threshold_max
reservoir,0.0,7,1,inst,"((0, 1),)",0.49915,0.01633
reservoir,0.0,7,2,inst,"((0, 2),)",0.49624,0.01633
reservoir,0.0,7,3,inst,"((0, 3),)",0.70744,0.01633
reservoir,0.0,7,4,inst,"((0, 4),)",0.57447,0.01633
reservoir,0.0,7,1,temporal,"((1, 1),)",0.11203,0.01633
reservoir,0.0,7,2,temporal,"((1, 2),)",0.04519,0.01633
reservoir,0.0,7,3,temporal,"((1, 3),)",0.06431,0.01633
reservoir,0.0,7,4,temporal,"((1, 4),)",0.07724,0.01633
reservoir,0.0,7,1,temporal,"((2, 1),)",0.03632,0.01633
reservoir,0.0,7,3,temporal,"((2, 3),)",0.03599,0.01633
reservoir,0.3,7,1,inst,"((0, 1),)",0.30195,0.01099
reservoir,0.3,7,2,inst,"((0, 2),)",0.19367,0.01099
reservoir,0.3,7,3,inst,"((0, 3),)",0.1911,0.01099
reservoir,0.3,7,4,inst,"((0, 4),)",0.10622,0.01099
reservoir,0.3,7,1,temporal,"((1, 1),)",0.08861,0.01099
reservoir,0.3,7,2,temporal,"((1, 2),)",0.01722,0.01099
reservoir,0.3,7,3,temporal,"((1, 3),)",0.02942,0.01099
reservoir,0.3,7,4,temporal,"((1, 4),)",0.04093,0.01099
reservoir,0.3,7,1,temporal,"((2, 1),)",0.02895,0.01099
reservoir,0.7,7,1,inst,"((0, 1),)",0.24069,0.01345
reservoir,0.7,7,2,inst,"((0, 2),)",0.06612,0.01345
reservoir,0.7,7,3,inst,"((0, 3),)",0.12734,0.01345
reservoir,0.7,7,4,inst,"((0, 4),)",0.04975,0.01345
reservoir,0.7,7,1,temporal,"((1, 1),)",0.01938,0.01345
reservoir,0.7,7,2,temporal,"((1, 2),)",0.01403,0.01345
reservoir,0.7,7,3,temporal,"((1, 3),)",0.01764,0.01345
reservoir,1.0,7,1,inst,"((0, 1),)",0.21219,0.01232
reservoir,1.0,7,2,inst,"((0, 2),)",0.07216,0.01232
reservoir,1.0,7,3,inst,"((0, 3),)",0.05522,0.01232
reservoir,1.0,7,4,inst,"((0, 4),)",0.02978,0.01232
reservoir,1.0,7,1,temporal,"((1, 1),)",0.0289,0.01232
reservoir,0.0,11,1,inst,"((0, 1),)",0.53066,0.01297
reservoir,0.0,11,2,inst,"((0, 2),)",0.56928,0.01297
reservoir,0.0,11,3,inst,"((0, 3),)",0.726,0.01297
reservoir,0.0,11,4,inst,"((0, 4),)",0.60973,0.01297
reservoir,0.0,11,1,temporal,"((1, 1),)",0.11374,0.01297
reservoir,0.0,11,2,temporal,"((1, 2),)",0.05676,0.01297
reservoir,0.0,11,3,temporal,"((1, 3),)",0.06824,0.01297
reservoir,0.0,11,4,temporal,"((1, 4),)",0.12381,0.01297
reservoir,0.0,11,1,temporal,"((2, 1),)",0.0142,0.01297
reservoir,0.3,11,1,inst,"((0, 1),)",0.28038,0.01324
reservoir,0.3,11,2,inst,"((0, 2),)",0.23875,0.01324
reservoir,0.3,11,3,inst,"((0, 3),)",0.19392,0.01324
reservoir,0.3,11,4,inst,"((0, 4),)",0.09663,0.01324
reservoir,0.3,11,1,temporal,"((1, 1),)",0.11408,0.01324
reservoir,0.3,11,2,temporal,"((1, 2),)",0.01714,0.01324
reservoir,0.3,11,3,temporal,"((1, 3),)",0.02516,0.01324
reservoir,0.3,11,4,temporal,"((1, 4),)",0.03644,0.01324
reservoir,0.7,11,1,inst,"((0, 1),)",0.19764,0.01167
reservoir,0.7,11,2,inst,"((0, 2),)",0.16197,0.01167
reservoir,0.7,11,3,inst,"((0, 3),)",0.11821,0.01167
reservoir,0.7,11,4,inst,"((0, 4),)",0.04042,0.01167
reservoir,0.7,11,1,temporal,"((1, 1),)",0.04095,0.01167
reservoir,0.7,11,2,temporal,"((1, 2),)",0.01708,0.01167
reservoir,1.0,11,1,inst,"((0, 1),)",0.18911,0.0094
reservoir,1.0,11,2,inst,"((0, 2),)",0.09234,0.0094
reservoir,1.0,11,4,inst,"((0, 4),)",0.02074,0.0094
reservoir,1.0,11,4,temporal,"((1, 4),)",0.01416,0.0094
reservoir,0.0,15,1,inst,"((0, 1),)",0.51462,0.011
reservoir,0.0,15,2,inst,"((0, 2),)",0.56901,0.011
reservoir,0.0,15,3,inst,"((0, 3),)",0.74301,0.011
reservoir,0.0,15,4,inst,"((0, 4),)",0.58715,0.011
reservoir,0.0,15,1,temporal,"((1, 1),)",0.12587,0.011
reservoir,0.0,15,2,temporal,"((1, 2),)",0.04265,0.011
reservoir,0.0,15,3,temporal,"((1, 3),)",0.03488,0.011
reservoir,0.0,15,4,temporal,"((1, 4),)",0.1221,0.011
reservoir,0.0,15,1,temporal,"((2, 1),)",0.02715,0.011
reservoir,0.0,15,2,temporal,"((2, 2),)",0.01227,0.011
reservoir,0.0,15,1,temporal,"((3, 1),)",0.01436,0.011
reservoir,0.0,15,3,temporal,"((1, 1), (2, 2))",0.01964,0.011
reservoir,0.3,15,1,inst,"((0, 1),)",0.29687,0.01233
reservoir,0.3,15,2,inst,"((0, 2),)",0.24564,0.01233
reservoir,0.3,15,3,inst,"((0, 3),)",0.19666,0.01233
reservoir,0.3,15,4,inst,"((0, 4),)",0.09291,0.01233
reservoir,0.3,15,1,temporal,"((1, 1),)",0.09571,0.01233
reservoir,0.3,15,2,temporal,"((1, 2),)",0.05917,0.01233
reservoir,0.3,15,3,temporal,"((1, 3),)",0.03473,0.01233
reservoir,0.3,15,4,temporal,"((1, 4),)",0.03108,0.01233
reservoir,0.3,15,1,temporal,"((2, 1),)",0.0186,0.01233
reservoir,0.3,15,4,temporal,"((3, 2), (5, 2))",0.01577,0.01233
reservoir,0.7,15,1,inst,"((0, 1),)",0.19116,0.01348
reservoir,0.7,15,2,inst,"((0, 2),)",0.13342,0.01348
reservoir,0.7,15,3,inst,"((0, 3),)",0.08277,0.01348
reservoir,0.7,15,4,inst,"((0, 4),)",0.03542,0.01348
reservoir,0.7,15,1,temporal,"((1, 1),)",0.03631,0.01348
reservoir,0.7,15,2,temporal,"((1, 2),)",0.02708,0.01348
reservoir,1.0,15,1,inst,"((0, 1),)",0.21652,0.01144
reservoir,1.0,15,2,inst,"((0, 2),)",0.07219,0.01144
reservoir,1.0,15,3,inst,"((0, 3),)",0.06282,0.01144
reservoir,1.0,15,1,temporal,"((1, 1),)",0.02056,0.01144
