system,temp,input_seed,noise_seed,IPC_d1_inst,IPC_d1_temporal,IPC_d2_inst,IPC_d2_temporal,IPC_d3_inst,IPC_d3_temporal,IPC_d4_inst,IPC_d4_temporal,IPC_inst,IPC_temporal,IPC_total,IPC_total_p99,IPC_total_p999,MC,MC_0,MC_1,MC_alpha_at_max_signif,MC_inputleak,MC_inputleak_0,MC_inputleak_1,eff_rank,ipc_alpha_at_max_signif,readout_dim,surrogate_max
linear_esn,,7,777,0.9999129605169631,7.880597839360278,0.0,0.0,0.9538528922535501,45.69112611459331,0.0,0.0,1.953765852770513,53.57172395395359,55.5254898067241,55.5254898067241,55.5254898067241,16.088883842492912,0.999912960516963,0.999621540428634,0,,,,368,0,368,0.01502208113904202
shift_register,,7,777,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,9.0,9.0,9.0,30.0,1.0,1.0,0,,,,30,0,368,0.01240427822344392
random_token,,7,777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02596254712622159,0.00830217161180613,0.0015178069402972394,0.0,0.0,0,,,,368,0,368,0.019760998939337693
reservoir,0.0,7,777,0.4991455812856096,0.15623192430201582,0.4962439759270173,0.04518964043541274,0.7074420313722097,0.10030069369513683,0.5744697225538805,0.09322200633009259,2.277301311138717,0.394944264762658,2.6722455759013752,2.713826092769563,2.689486549573969,0.6617886581244147,0.49914558128560604,0.11203220393997626,0,0.7617814110887282,0.7536244438725805,0.001318158609894593,368,0,368,0.01633436114056308
reservoir,0.3,7,777,0.3019523396766497,0.11756070025818544,0.19366753776146717,0.017216293465708632,0.19109980863833587,0.02941722820471193,0.10621700060142425,0.04093479982146331,0.792936686677877,0.2051290217500693,0.9980657084279463,1.032506841985164,1.0061065112686793,0.424704538230251,0.3019523396766497,0.08860989769356387,0,0.5455230423458147,0.5439268355111438,0.0,368,0,368,0.014294427561129974
reservoir,0.7,7,777,0.24068655914994685,0.031293359473505644,0.06611862358373288,0.01402583660777712,0.12734397109986617,0.017641410623647324,0.049746262928612506,0.0,0.4838954167621584,0.06296060670493009,0.5468560234670885,0.5623646313154831,0.5468560234670885,0.2765079316535436,0.24068655914994652,0.019383627751264676,0,0.4099636222298493,0.4016238342864997,0.0,368,0,368,0.015769090973770106
reservoir,1.0,7,777,0.21218610090377465,0.028904736999810332,0.07215912118417356,0.0,0.05522434595550341,0.0,0.029779520376725155,0.0,0.3693490884201768,0.028904736999810332,0.3982538254199871,0.42712564033670297,0.410932393384448,0.25079160283472024,0.21218610090377432,0.028904736999810665,0,0.31264085951017273,0.3033727286124217,0.003503981647891452,368,0,368,0.01232469492720889
linear_esn,,11,778,0.9999232460466306,7.867490047032647,0.0,0.0,0.9569443885271293,45.669675926854865,0.0,0.0,1.95686763457376,53.53716597388751,55.49403360846128,55.554969447652304,55.52610628788086,15.78750792342971,0.9999232460466309,0.9996227232033998,0,,,,368,0,368,0.02583555091645906
shift_register,,11,778,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,9.0,9.08604059220879,9.0,30.0,1.0,1.0,0,,,,30,0,368,0.013387557883887236
random_token,,11,778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034321072892588345,0.0,0.02195389024247052,0.0037549761074865406,0.0,0,,,,368,0,368,0.013499725072812274
reservoir,0.0,11,778,0.5306627862398945,0.1279410700298359,0.5692751855075528,0.056755538372164294,0.7259966530477844,0.06824009939000641,0.6097307861773037,0.12380766501444229,2.4356654109725353,0.3767443728064489,2.8124097837789845,2.864374044626275,2.834320645565976,0.6658521673395495,0.5306627862398952,0.11373869348315446,0,0.7946458267768627,0.7907947806542306,0.0,368,0,368,0.01753547139538847
reservoir,0.3,11,778,0.2803788771079564,0.11407778572619243,0.23874530159262886,0.017135634738024152,0.19391569466021163,0.025159191569677053,0.09662961390052593,0.03643839325669984,0.8096694872613228,0.19281100529059347,1.0024804925519164,1.0464468124174133,1.0024804925519164,0.4027247936929125,0.28037887710795695,0.11407778572619243,0,0.5573688113232245,0.5570426367022432,0.0,368,0,368,0.018086629301415913
reservoir,0.7,11,778,0.19764211200024617,0.04094789166325219,0.16197430878168895,0.017084915553451263,0.11820819609016253,0.0,0.04042459310278779,0.0,0.5182492099748854,0.05803280721670345,0.5762820171915889,0.6032474867808988,0.5857831369810048,0.2502468221323735,0.1976421120002464,0.04094789166325219,0,0.3926566059746819,0.38637291090377146,0.0,368,0,368,0.011838010189781367
reservoir,1.0,11,778,0.18911466266569554,0.0,0.09233676153655901,0.0,0.0,0.0,0.02074075453986135,0.0,0.3021921787421159,0.0,0.3021921787421159,0.33170343104252853,0.31635332055825305,0.1956438459119234,0.1891146626656952,0.0,0,0.310711548496591,0.301565132113189,6.402031226071525e-05,368,0,368,0.029883447923841344
linear_esn,,15,779,0.9999127182838974,7.866785041793247,0.0,0.0,0.9572857993093195,44.894195188850134,0.0,0.0,1.9571985175932167,52.76098023064338,54.71817874823661,54.7719913225644,54.73494025345205,15.560275503101574,0.9999127182838979,0.9995911602236671,0,,,,368,0,368,0.015264042124852328
shift_register,,15,779,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,9.0,9.073808407150608,9.008528232585073,30.0,1.0,1.0,0,,,,30,0,368,0.014721232208244395
random_token,,15,779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0187255946336079,0.008173235330431239,0.0038196963677328277,0.0,0.0,0,,,,368,0,368,0.01294550027763719
reservoir,0.0,15,779,0.5146208690557742,0.17400195640481597,0.5690097475251163,0.04264664291378606,0.7430126645652775,0.054521233095462196,0.5871453102945946,0.12210411338861116,2.4137885914407624,0.3932739458026754,2.8070625372434383,2.835079651331393,2.8193353065185383,0.6888162502107716,0.5146208690557711,0.12587471768865233,0,0.8003304155430323,0.7861086912169892,0.0,368,0,368,0.018991341975117426
reservoir,0.3,15,779,0.2968719830075327,0.11431306969486754,0.24564086172565835,0.05917086630162116,0.19666317188568438,0.03472675587522345,0.09291376228228487,0.04685293518656497,0.8320897789011603,0.2550636270582771,1.0871534059594374,1.1089819200322388,1.0871534059594374,0.42016160858598073,0.2968719830075326,0.09571470625720757,0,0.5717978458825717,0.5602176814657167,0.0,368,0,368,0.01410529032016361
reservoir,0.7,15,779,0.19116416377961143,0.03630672813457714,0.1334195417127434,0.02707600068794902,0.0827689400824052,0.012796085171420724,0.03542210499958243,0.0,0.44277475057434246,0.07617881399394688,0.5189535645682893,0.5376587733588784,0.5304391899152965,0.2335323209944048,0.19116416377961232,0.03630672813457714,0,0.3503783678371535,0.3486070202241349,0.0,368,0,368,0.01788506889806074
reservoir,1.0,15,779,0.21651600359659484,0.020559163931456848,0.07219451316023906,0.0,0.062817641841457,0.0,0.0,0.010980402169609604,0.3515281585982909,0.03153956610106645,0.38306772469935735,0.41615179781830447,0.3944563945084766,0.24053242957765641,0.21651600359659517,0.02055916393145696,0,0.2898742039960208,0.2843971298980943,0.0,368,0,368,0.012672238566711624
