label,arch,window,temp,esp_final_hamming,esp_ok,t_sync,washout_gt_tsync,MC,MC_kge1,C_inst,C_temporal,eff_rank
causal,causal,,0.3,0.0,1,86,1,0.4007,0.0804,0.7559,0.1292,368
causal,causal,,0.5,0.0,1,40,1,0.3605,0.0791,0.6134,0.0933,368
causal,causal,,0.7,0.0,1,96,1,0.301,0.0614,0.5331,0.0742,368
causal,causal,,0.9,0.0,1,39,1,0.2015,0.0251,0.369,0.017,368
local w1,local,1,0.3,0.2058,0,-1,0,,,,,
local w1,local,1,0.5,0.0,1,76,1,0.0386,0.0,0.0559,0.0,296
local w1,local,1,0.7,0.0,1,30,1,0.0146,0.0,0.0146,0.0,296
local w2,local,2,0.5,0.7036,0,-1,0,,,,,
local w2,local,2,0.7,0.6453,0,-1,0,,,,,
local w2,local,2,0.9,0.4304,0,-1,0,,,,,
local w2,local,2,1.1,0.0043,1,152,1,0.0,0.0,0.0,0.0,313
local w4,local,4,0.5,0.9989,0,-1,0,,,,,
local w4,local,4,0.9,0.9996,0,-1,0,,,,,
