kind,name,cls,L,E_excess,h_mu,live
ref,rule 110,4,32,1.9797226153950545,,
ref,rule 110,4,48,0.5384280743656,,
ref,rule 110,4,64,3.0697259799647956,,
ref,rule 110,4,96,2.255216390646975,,
ref,rule 110,4,128,2.36231985344365,,
ref,rule 110,4,160,1.932272321211302,,
ref,rule 110,4,200,2.1305372238208298,,
ref,rule 110,4,256,2.8057063888438787,,
ref,rule 54,4,32,1.7219930839471398,,
ref,rule 54,4,48,1.1247152786356756,,
ref,rule 54,4,64,1.5820090960621893,,
ref,rule 54,4,96,1.287126767658648,,
ref,rule 54,4,128,1.1778843893834194,,
ref,rule 54,4,160,1.275579533048273,,
ref,rule 54,4,200,1.6402714035701604,,
ref,rule 54,4,256,1.5714208242309438,,
ref,rule 30,3,32,0.006442480212795365,,
ref,rule 30,3,48,0.0,,
ref,rule 30,3,64,0.00027755557781450335,,
ref,rule 30,3,96,0.0003211605746222812,,
ref,rule 30,3,128,0.0,,
ref,rule 30,3,160,0.0,,
ref,rule 30,3,200,0.0005813994786385557,,
ref,rule 30,3,256,0.0,,
ref,rule 184,2,32,1.2690968044375124,,
ref,rule 184,2,48,1.2514852761191104,,
ref,rule 184,2,64,1.4075282158528573,,
ref,rule 184,2,96,0.978919494512565,,
ref,rule 184,2,128,0.9180928504273254,,
ref,rule 184,2,160,0.9353730354472874,,
ref,rule 184,2,200,0.9347241811201009,,
ref,rule 184,2,256,0.9349213635939437,,
llm,bert osc pen2,?,40,0.040486633180401466,0.870225989056142,0.6890873015873016
llm,bert osc pen2,?,48,0.1352718151866248,0.8499374831974918,0.6863425925925926
llm,bert osc pen2,?,56,0.6845139844233956,0.2884157475606428,0.12145691609977324
llm,bert osc pen2,?,64,0.8238378987026111,0.48949735712331527,0.3382936507936508
llm,bert osc pen2,?,72,0.6999609536558937,0.3026314363269602,0.17074514991181658
llm,bert osc pen2,?,80,0.30754734692339536,0.23752735293609387,0.07361111111111111
llm,bert osc pen2,?,96,0.27999517541458263,0.20222126300735313,0.06084656084656084
llm,bert osc pen2,?,112,0.9068758536041353,0.41315202138170076,0.31405895691609975
llm,bert osc pen2,?,128,0.9784525116665317,0.30892044010655634,0.22767857142857142
llm,causal pythia T0.5,?,40,0.15529470425358927,0.3783838115511811,0.9011904761904762
llm,causal pythia T0.5,?,48,0.01914386529841927,0.3157403147591064,0.9406415343915344
llm,causal pythia T0.5,?,56,0.10996294184579258,0.3708485003603073,0.9149659863945578
llm,causal pythia T0.5,?,64,0.13249978292717945,0.37222444732245324,0.9139384920634921
llm,causal pythia T0.5,?,72,0.13921470811659398,0.3737114995413597,0.9086199294532628
llm,causal pythia T0.5,?,80,0.08617499529801043,0.3639845013078547,0.9169642857142857
llm,causal pythia T0.5,?,96,0.029411614803360298,0.3348586800259863,0.9346891534391535
llm,causal pythia T0.5,?,112,0.10381786227751966,0.3821316095027935,0.9098639455782312
llm,causal pythia T0.5,?,128,0.33663778204731676,0.5136483573192473,0.8064856150793651
