arch,model,model_tag,window,temp,pair,generation,hamming
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,0,1.0
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,1,2.0
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,2,11.0
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,3,26.0
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,4,32.0
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,5,41.0
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,6,37.0
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,7,28.0
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,8,23.0
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,9,31.0
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,10,38.0
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,11,27.0
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,12,26.0
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,13,27.0
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,14,23.0
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,15,28.0
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,16,29.0
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,17,28.0
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,18,32.0
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,19,36.0
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,20,29.0
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,21,32.0
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,22,34.0
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,23,43.0
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,24,43.0
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,25,45.0
masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,0,26,34.0
