arch,model,model_tag,window,temp,pair,generation,hamming
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,0,1.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,1,13.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,2,18.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,3,27.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,4,25.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,5,28.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,6,27.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,7,23.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,8,22.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,9,21.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,10,22.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,11,18.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,12,15.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,13,14.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,14,14.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,15,15.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,16,14.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,17,14.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,18,8.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,19,13.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,20,10.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,21,10.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,22,9.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,23,10.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,24,7.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,25,5.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,26,5.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,27,4.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,28,3.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,29,1.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,30,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,31,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,32,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,33,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,34,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,35,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,36,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,37,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,38,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,39,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,40,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,41,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,42,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,43,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,44,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,45,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,46,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,47,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,48,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,49,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,50,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,51,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,52,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,53,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,54,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,55,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,56,0.0
causal,EleutherAI/pythia-160m,pythia-160m,,1.0,0,57,0.0
