pair,init_seed,noise_seed,perturb_site,short_lam,peak_hamming,time_to_peak,final_hamming,synchronized,arch,model,model_tag,window,temp,L,steps,absorbing,freq_penalty
0,3,11,1,0.6664409020350408,28.0,5,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.0,48,120,0,0.0
1,5003,5011,8,0.30089446678913445,15.0,9,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.0,48,120,0,0.0
2,10003,10011,15,0.7611306094308558,21.0,4,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.0,48,120,0,0.0
3,15003,15011,22,1.0986122886681098,9.0,2,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.0,48,120,0,0.0
4,20003,20011,29,0.0,1.0,0,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.0,48,120,0,0.0
5,25003,25011,36,1.3862943611198906,4.0,1,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.0,48,120,0,0.0
6,30003,30011,43,0.0,1.0,0,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.0,48,120,0,0.0
7,35003,35011,2,0.6664409020350408,28.0,5,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.0,48,120,0,0.0
8,40003,40011,9,0.7361097447916101,19.0,4,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.0,48,120,0,0.0
9,45003,45011,16,0.9634572526320548,18.0,3,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.0,48,120,0,0.0
10,50003,50011,23,0.8549831191538456,13.0,3,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.0,48,120,0,0.0
11,55003,55011,30,0.34657359027997264,8.0,6,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.0,48,120,0,0.0
12,60003,60011,37,0.46209812037329684,4.0,3,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.0,48,120,0,0.0
13,65003,65011,44,0.0,1.0,0,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.0,48,120,0,0.0
14,70003,70011,3,0.6931471805599453,32.0,5,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.0,48,120,0,0.0
15,75003,75011,10,0.6089044875446846,21.0,5,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.0,48,120,0,0.0
0,3,11,1,0.43013344565643236,48.0,9,48.0,0,masked,distilroberta-base,distilroberta-base,,1.0,48,120,0,0.0
1,5003,5011,8,0.3208456334758382,48.0,19,39.0,0,masked,distilroberta-base,distilroberta-base,,1.0,48,120,0,0.0
2,10003,10011,15,0.43013344565643236,48.0,9,48.0,0,masked,distilroberta-base,distilroberta-base,,1.0,48,120,0,0.0
3,15003,15011,22,0.3871201010907891,48.0,10,48.0,0,masked,distilroberta-base,distilroberta-base,,1.0,48,120,0,0.0
4,20003,20011,29,0.43013344565643236,48.0,9,48.0,0,masked,distilroberta-base,distilroberta-base,,1.0,48,120,0,0.0
5,25003,25011,36,0.3871201010907891,48.0,10,48.0,0,masked,distilroberta-base,distilroberta-base,,1.0,48,120,0,0.0
6,30003,30011,43,0.43013344565643236,48.0,9,48.0,0,masked,distilroberta-base,distilroberta-base,,1.0,48,120,0,0.0
7,35003,35011,2,0.2986265782046758,48.0,22,48.0,0,masked,distilroberta-base,distilroberta-base,,1.0,48,120,0,0.0
8,40003,40011,9,0.43013344565643236,48.0,9,48.0,0,masked,distilroberta-base,distilroberta-base,,1.0,48,120,0,0.0
9,45003,45011,16,0.3871201010907891,48.0,10,48.0,0,masked,distilroberta-base,distilroberta-base,,1.0,48,120,0,0.0
10,50003,50011,23,0.3172218741475266,48.0,23,48.0,0,masked,distilroberta-base,distilroberta-base,,1.0,48,120,0,0.0
11,55003,55011,30,0.3226000842423243,48.0,12,48.0,0,masked,distilroberta-base,distilroberta-base,,1.0,48,120,0,0.0
12,60003,60011,37,0.7742402021815782,48.0,5,48.0,0,masked,distilroberta-base,distilroberta-base,,1.0,48,120,0,0.0
13,65003,65011,44,0.3134333429744635,48.0,17,48.0,0,masked,distilroberta-base,distilroberta-base,,1.0,48,120,0,0.0
14,70003,70011,3,0.4839001263634864,48.0,8,48.0,0,masked,distilroberta-base,distilroberta-base,,1.0,48,120,0,0.0
15,75003,75011,10,0.6452001684846486,48.0,6,48.0,0,masked,distilroberta-base,distilroberta-base,,1.0,48,120,0,0.0
0,3,11,1,0.3134333429744635,44.0,17,0.0,1,masked,bert-base-uncased,bert-base-uncased,,1.0,48,120,0,0.0
1,5003,5011,8,0.2986265782046758,47.0,67,33.0,0,masked,bert-base-uncased,bert-base-uncased,,1.0,48,120,0,0.0
2,10003,10011,15,0.3031321799771988,48.0,18,0.0,1,masked,bert-base-uncased,bert-base-uncased,,1.0,48,120,0,0.0
3,15003,15011,22,0.2962790051241178,47.0,18,38.0,0,masked,bert-base-uncased,bert-base-uncased,,1.0,48,120,0,0.0
4,20003,20011,29,0.5827512602444134,33.0,6,0.0,1,masked,bert-base-uncased,bert-base-uncased,,1.0,48,120,0,0.0
5,25003,25011,36,0.3009098260536854,46.0,73,39.0,0,masked,bert-base-uncased,bert-base-uncased,,1.0,48,120,0,0.0
6,30003,30011,43,0.2913756301222067,43.0,17,0.0,1,masked,bert-base-uncased,bert-base-uncased,,1.0,48,120,0,0.0
7,35003,35011,2,0.30740662117616135,47.0,92,35.0,0,masked,bert-base-uncased,bert-base-uncased,,1.0,48,120,0,0.0
8,40003,40011,9,0.2986265782046758,44.0,17,0.0,1,masked,bert-base-uncased,bert-base-uncased,,1.0,48,120,0,0.0
9,45003,45011,16,0.3031321799771988,48.0,26,5.0,0,masked,bert-base-uncased,bert-base-uncased,,1.0,48,120,0,0.0
10,50003,50011,23,0.28881132523331055,47.0,25,13.0,0,masked,bert-base-uncased,bert-base-uncased,,1.0,48,120,0,0.0
11,55003,55011,30,0.3094643388920257,48.0,37,38.0,0,masked,bert-base-uncased,bert-base-uncased,,1.0,48,120,0,0.0
12,60003,60011,37,0.3094643388920257,46.0,19,0.0,1,masked,bert-base-uncased,bert-base-uncased,,1.0,48,120,0,0.0
13,65003,65011,44,0.3153491361598551,48.0,26,35.0,0,masked,bert-base-uncased,bert-base-uncased,,1.0,48,120,0,0.0
14,70003,70011,3,0.30740662117616135,47.0,16,0.0,1,masked,bert-base-uncased,bert-base-uncased,,1.0,48,120,0,0.0
15,75003,75011,10,0.3134333429744635,47.0,77,41.0,0,masked,bert-base-uncased,bert-base-uncased,,1.0,48,120,0,0.0
0,3,11,1,0.2137457797884614,15.0,39,0.0,1,local,distilroberta-base,distilroberta-base,1,1.0,48,120,0,0.0
1,5003,5011,8,1.3862943611198906,4.0,1,0.0,1,local,distilroberta-base,distilroberta-base,1,1.0,48,120,0,0.0
2,10003,10011,15,0.0,1.0,0,0.0,1,local,distilroberta-base,distilroberta-base,1,1.0,48,120,0,0.0
3,15003,15011,22,0.0,1.0,0,0.0,1,local,distilroberta-base,distilroberta-base,1,1.0,48,120,0,0.0
4,20003,20011,29,0.0,1.0,0,0.0,1,local,distilroberta-base,distilroberta-base,1,1.0,48,120,0,0.0
5,25003,25011,36,0.0,1.0,0,0.0,1,local,distilroberta-base,distilroberta-base,1,1.0,48,120,0,0.0
6,30003,30011,43,0.0,1.0,0,0.0,1,local,distilroberta-base,distilroberta-base,1,1.0,48,120,0,0.0
7,35003,35011,2,1.6094379124341003,5.0,1,0.0,1,local,distilroberta-base,distilroberta-base,1,1.0,48,120,0,0.0
8,40003,40011,9,0.0,1.0,0,0.0,1,local,distilroberta-base,distilroberta-base,1,1.0,48,120,0,0.0
9,45003,45011,16,0.0,1.0,0,0.0,1,local,distilroberta-base,distilroberta-base,1,1.0,48,120,0,0.0
10,50003,50011,23,0.0,1.0,0,0.0,1,local,distilroberta-base,distilroberta-base,1,1.0,48,120,0,0.0
11,55003,55011,30,0.34657359027997264,2.0,2,0.0,1,local,distilroberta-base,distilroberta-base,1,1.0,48,120,0,0.0
12,60003,60011,37,0.34657359027997264,2.0,2,0.0,1,local,distilroberta-base,distilroberta-base,1,1.0,48,120,0,0.0
13,65003,65011,44,0.0,1.0,0,0.0,1,local,distilroberta-base,distilroberta-base,1,1.0,48,120,0,0.0
14,70003,70011,3,0.3662040962227033,3.0,3,0.0,1,local,distilroberta-base,distilroberta-base,1,1.0,48,120,0,0.0
15,75003,75011,10,0.8047189562170501,5.0,2,0.0,1,local,distilroberta-base,distilroberta-base,1,1.0,48,120,0,0.0
0,3,11,1,0.27150804483512353,32.0,29,20.0,0,local,distilroberta-base,distilroberta-base,2,1.0,48,120,0,0.0
1,5003,5011,8,0.2537102031436186,31.0,91,20.0,0,local,distilroberta-base,distilroberta-base,2,1.0,48,120,0,0.0
2,10003,10011,15,0.2648378191956621,28.0,13,25.0,0,local,distilroberta-base,distilroberta-base,2,1.0,48,120,0,0.0
3,15003,15011,22,0.09155102405567582,29.0,81,27.0,0,local,distilroberta-base,distilroberta-base,2,1.0,48,120,0,0.0
4,20003,20011,29,0.0,1.0,0,0.0,1,local,distilroberta-base,distilroberta-base,2,1.0,48,120,0,0.0
5,25003,25011,36,0.46209812037329684,4.0,3,0.0,1,local,distilroberta-base,distilroberta-base,2,1.0,48,120,0,0.0
6,30003,30011,43,0.0,1.0,0,0.0,1,local,distilroberta-base,distilroberta-base,2,1.0,48,120,0,0.0
7,35003,35011,2,0.257586871113193,28.0,116,25.0,0,local,distilroberta-base,distilroberta-base,2,1.0,48,120,0,0.0
8,40003,40011,9,0.1493132891023379,29.0,67,19.0,0,local,distilroberta-base,distilroberta-base,2,1.0,48,120,0,0.0
9,45003,45011,16,0.1493132891023379,30.0,56,15.0,0,local,distilroberta-base,distilroberta-base,2,1.0,48,120,0,0.0
10,50003,50011,23,0.0,1.0,0,0.0,1,local,distilroberta-base,distilroberta-base,2,1.0,48,120,0,0.0
11,55003,55011,30,0.09155102405567582,6.0,15,0.0,1,local,distilroberta-base,distilroberta-base,2,1.0,48,120,0,0.0
12,60003,60011,37,0.0,1.0,0,0.0,1,local,distilroberta-base,distilroberta-base,2,1.0,48,120,0,0.0
13,65003,65011,44,0.5493061443340549,3.0,2,0.0,1,local,distilroberta-base,distilroberta-base,2,1.0,48,120,0,0.0
14,70003,70011,3,0.3367295829986474,29.0,10,23.0,0,local,distilroberta-base,distilroberta-base,2,1.0,48,120,0,0.0
15,75003,75011,10,0.13411982603617503,29.0,82,16.0,0,local,distilroberta-base,distilroberta-base,2,1.0,48,120,0,0.0
0,3,11,1,0.3114724681902807,48.0,19,48.0,0,local,distilroberta-base,distilroberta-base,4,1.0,48,120,0,0.0
1,5003,5011,8,0.30740662117616135,48.0,18,48.0,0,local,distilroberta-base,distilroberta-base,4,1.0,48,120,0,0.0
2,10003,10011,15,0.3353526776467215,40.0,11,0.0,1,local,distilroberta-base,distilroberta-base,4,1.0,48,120,0,0.0
3,15003,15011,22,0.3208456334758382,48.0,21,47.0,0,local,distilroberta-base,distilroberta-base,4,1.0,48,120,0,0.0
4,20003,20011,29,0.3172218741475266,48.0,26,48.0,0,local,distilroberta-base,distilroberta-base,4,1.0,48,120,0,0.0
5,25003,25011,36,0.3153491361598551,48.0,16,48.0,0,local,distilroberta-base,distilroberta-base,4,1.0,48,120,0,0.0
6,30003,30011,43,0.3153491361598551,48.0,35,48.0,0,local,distilroberta-base,distilroberta-base,4,1.0,48,120,0,0.0
7,35003,35011,2,0.3134333429744635,48.0,32,48.0,0,local,distilroberta-base,distilroberta-base,4,1.0,48,120,0,0.0
8,40003,40011,9,0.0,1.0,0,0.0,1,local,distilroberta-base,distilroberta-base,4,1.0,48,120,0,0.0
9,45003,45011,16,0.3208456334758382,48.0,17,48.0,0,local,distilroberta-base,distilroberta-base,4,1.0,48,120,0,0.0
10,50003,50011,23,0.3190534497074246,48.0,22,47.0,0,local,distilroberta-base,distilroberta-base,4,1.0,48,120,0,0.0
11,55003,55011,30,0.3114724681902807,48.0,14,48.0,0,local,distilroberta-base,distilroberta-base,4,1.0,48,120,0,0.0
12,60003,60011,37,0.3208456334758382,48.0,14,48.0,0,local,distilroberta-base,distilroberta-base,4,1.0,48,120,0,0.0
13,65003,65011,44,0.3134333429744635,48.0,19,48.0,0,local,distilroberta-base,distilroberta-base,4,1.0,48,120,0,0.0
14,70003,70011,3,0.3094643388920257,48.0,31,47.0,0,local,distilroberta-base,distilroberta-base,4,1.0,48,120,0,0.0
15,75003,75011,10,0.2962790051241178,48.0,29,48.0,0,local,distilroberta-base,distilroberta-base,4,1.0,48,120,0,0.0
