pair,init_seed,noise_seed,perturb_site,short_lam,peak_hamming,time_to_peak,final_hamming,synchronized,arch,model,model_tag,window,temp,L,steps,absorbing,freq_penalty
0,3,11,1,0.6664409020350408,28.0,5,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.0,48,80,0,0.0
1,5003,5011,8,0.3298821662019073,15.0,9,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.0,48,80,0,0.0
2,10003,10011,15,0.7611306094308558,21.0,4,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.0,48,80,0,0.0
3,15003,15011,22,1.0986122886681098,9.0,2,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.0,48,80,0,0.0
4,20003,20011,29,0.0,1.0,0,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.0,48,80,0,0.0
5,25003,25011,36,1.3862943611198906,4.0,1,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.0,48,80,0,0.0
6,30003,30011,43,0.0,1.0,0,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.0,48,80,0,0.0
7,35003,35011,2,0.6664409020350408,28.0,5,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.0,48,80,0,0.0
0,3,11,1,0.4812684502137573,48.0,9,48.0,0,masked,distilroberta-base,distilroberta-base,,1.0,48,80,0,0.0
1,5003,5011,8,0.4641965083380385,48.0,19,45.0,0,masked,distilroberta-base,distilroberta-base,,1.0,48,80,0,0.0
2,10003,10011,15,0.4812684502137573,48.0,9,48.0,0,masked,distilroberta-base,distilroberta-base,,1.0,48,80,0,0.0
3,15003,15011,22,0.4730237042397826,48.0,10,48.0,0,masked,distilroberta-base,distilroberta-base,,1.0,48,80,0,0.0
4,20003,20011,29,0.47583281122128995,48.0,9,48.0,0,masked,distilroberta-base,distilroberta-base,,1.0,48,80,0,0.0
5,25003,25011,36,0.45136473908052804,48.0,10,48.0,0,masked,distilroberta-base,distilroberta-base,,1.0,48,80,0,0.0
6,30003,30011,43,0.4812684502137573,48.0,9,48.0,0,masked,distilroberta-base,distilroberta-base,,1.0,48,80,0,0.0
7,35003,35011,2,0.4701500144616953,48.0,22,48.0,0,masked,distilroberta-base,distilroberta-base,,1.0,48,80,0,0.0
0,3,11,1,0.4546982699657982,44.0,17,12.0,0,masked,bert-base-uncased,bert-base-uncased,,1.0,48,80,0,0.0
1,5003,5011,8,0.45136473908052804,47.0,67,43.0,0,masked,bert-base-uncased,bert-base-uncased,,1.0,48,80,0,0.0
2,10003,10011,15,0.4407950655770202,48.0,18,4.0,0,masked,bert-base-uncased,bert-base-uncased,,1.0,48,80,0,0.0
3,15003,15011,22,0.4701500144616953,47.0,18,36.0,0,masked,bert-base-uncased,bert-base-uncased,,1.0,48,80,0,0.0
4,20003,20011,29,0.5827512602444134,33.0,6,0.0,1,masked,bert-base-uncased,bert-base-uncased,,1.0,48,80,0,0.0
5,25003,25011,36,0.46110993176424203,46.0,73,40.0,0,masked,bert-base-uncased,bert-base-uncased,,1.0,48,80,0,0.0
