arch,model,model_tag,window,temp,pair,generation,hamming
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,0,1.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,1,11.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,2,25.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,3,26.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,4,29.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,5,27.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,6,22.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,7,27.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,8,24.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,9,28.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,10,23.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,11,20.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,12,20.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,13,14.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,14,19.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,15,12.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,16,10.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,17,10.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,18,10.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,19,13.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,20,14.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,21,12.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,22,9.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,23,5.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,24,1.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,25,0.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,26,0.0
causal,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,,1.0,0,27,0.0
