pair,init_seed,noise_seed,perturb_site,short_lam,peak_hamming,time_to_peak,final_hamming,synchronized,arch,model,model_tag,window,temp,L,steps,absorbing,freq_penalty
0,3,11,1,0.7052721049232323,34.0,5,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,0.6,48,80,0,0.0
1,5003,5011,8,0.6516193076042964,26.0,5,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,0.6,48,80,0,0.0
2,10003,10011,15,0.7838735539822874,23.0,4,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,0.6,48,80,0,0.0
3,15003,15011,22,0.708303336014054,17.0,4,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,0.6,48,80,0,0.0
4,20003,20011,29,0.5994738181995927,11.0,4,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,0.6,48,80,0,0.0
5,25003,25011,36,0.8958797346140275,6.0,2,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,0.6,48,80,0,0.0
6,30003,30011,43,1.0986122886681098,3.0,1,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,0.6,48,80,0,0.0
7,35003,35011,2,0.4905696006407352,31.0,7,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,0.6,48,80,0,0.0
0,3,11,1,0.9814796597221468,19.0,3,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.4,48,80,0,0.0
1,5003,5011,8,1.4451858789480823,18.0,2,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.4,48,80,0,0.0
2,10003,10011,15,0.5493061443340549,9.0,4,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.4,48,80,0,0.0
3,15003,15011,22,2.0794415416798357,8.0,1,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.4,48,80,0,0.0
4,20003,20011,29,0.0,1.0,0,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.4,48,80,0,0.0
5,25003,25011,36,0.8047189562170501,5.0,2,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.4,48,80,0,0.0
6,30003,30011,43,0.0,1.0,0,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.4,48,80,0,0.0
7,35003,35011,2,0.5991464547107982,20.0,5,0.0,1,causal,EleutherAI/pythia-160m,pythia-160m,,1.4,48,80,0,0.0
0,3,11,1,0.5119312769223014,36.0,7,29.0,0,masked,distilroberta-base,distilroberta-base,,0.6,48,80,0,0.0
1,5003,5011,8,1.5677471079645748,23.0,2,0.0,1,masked,distilroberta-base,distilroberta-base,,0.6,48,80,0,0.0
2,10003,10011,15,1.416606672028108,17.0,2,0.0,1,masked,distilroberta-base,distilroberta-base,,0.6,48,80,0,0.0
3,15003,15011,22,0.6452001684846486,48.0,6,48.0,0,masked,distilroberta-base,distilroberta-base,,0.6,48,80,0,0.0
4,20003,20011,29,0.7742402021815782,48.0,5,48.0,0,masked,distilroberta-base,distilroberta-base,,0.6,48,80,0,0.0
5,25003,25011,36,0.9678002527269728,48.0,4,48.0,0,masked,distilroberta-base,distilroberta-base,,0.6,48,80,0,0.0
6,30003,30011,43,0.7742402021815782,48.0,5,48.0,0,masked,distilroberta-base,distilroberta-base,,0.6,48,80,0,0.0
7,35003,35011,2,0.7742402021815782,48.0,5,48.0,0,masked,distilroberta-base,distilroberta-base,,0.6,48,80,0,0.0
0,3,11,1,0.42091197874830927,43.0,61,35.0,0,masked,distilroberta-base,distilroberta-base,,1.4,48,80,0,0.0
1,5003,5011,8,0.42091197874830927,48.0,22,47.0,0,masked,distilroberta-base,distilroberta-base,,1.4,48,80,0,0.0
2,10003,10011,15,0.4579452057662058,48.0,18,48.0,0,masked,distilroberta-base,distilroberta-base,,1.4,48,80,0,0.0
3,15003,15011,22,0.40235947810852507,45.0,29,39.0,0,masked,distilroberta-base,distilroberta-base,,1.4,48,80,0,0.0
4,20003,20011,29,0.45136473908052804,48.0,57,48.0,0,masked,distilroberta-base,distilroberta-base,,1.4,48,80,0,0.0
5,25003,25011,36,0.42514967270776943,37.0,10,22.0,0,masked,distilroberta-base,distilroberta-base,,1.4,48,80,0,0.0
6,30003,30011,43,0.42514967270776943,48.0,17,47.0,0,masked,distilroberta-base,distilroberta-base,,1.4,48,80,0,0.0
7,35003,35011,2,0.40726206725268527,48.0,60,48.0,0,masked,distilroberta-base,distilroberta-base,,1.4,48,80,0,0.0
