model,model_tag,arch,window,temp,L,steps,pairs,p_sync,late_damage,peak_damage,final_damage,sync_count
distilroberta-base,distilroberta-base,local,1,0.6,48,80,8,0.75,0.0623468137254902,0.19270833333333334,0.0546875,6
distilroberta-base,distilroberta-base,local,1,0.8,48,80,8,1.0,0.0,0.08854166666666667,0.0,8
distilroberta-base,distilroberta-base,local,1,1.0,48,80,8,1.0,0.0,0.07552083333333333,0.0,8
distilroberta-base,distilroberta-base,local,1,1.2,48,80,8,1.0,0.0,0.07291666666666667,0.0,8
distilroberta-base,distilroberta-base,local,1,1.4,48,80,8,1.0,0.0,0.0859375,0.0,8
distilroberta-base,distilroberta-base,local,2,0.6,48,80,8,0.125,0.5496323529411764,0.6692708333333334,0.5286458333333334,1
distilroberta-base,distilroberta-base,local,2,0.8,48,80,8,0.375,0.39659926470588236,0.4739583333333333,0.4036458333333333,3
distilroberta-base,distilroberta-base,local,2,1.0,48,80,8,0.375,0.2694546568627451,0.3880208333333333,0.2786458333333333,3
distilroberta-base,distilroberta-base,local,2,1.2,48,80,8,0.625,0.10891544117647059,0.265625,0.1171875,5
distilroberta-base,distilroberta-base,local,2,1.4,48,80,8,1.0,0.0,0.1484375,0.0,8
distilroberta-base,distilroberta-base,local,3,0.6,48,80,8,0.125,0.8628982843137254,0.8723958333333334,0.8697916666666666,1
distilroberta-base,distilroberta-base,local,3,0.8,48,80,8,0.0,0.9891237745098038,1.0,0.9947916666666666,0
distilroberta-base,distilroberta-base,local,3,1.0,48,80,8,0.0,0.9612438725490196,0.9973958333333334,0.9609375,0
distilroberta-base,distilroberta-base,local,3,1.2,48,80,8,0.0,0.9129901960784315,0.9921875,0.9166666666666666,0
distilroberta-base,distilroberta-base,local,3,1.4,48,80,8,0.125,0.7443321078431373,0.8359375,0.7447916666666666,1
distilroberta-base,distilroberta-base,local,4,0.6,48,80,8,0.0,0.9275428921568627,0.9895833333333334,0.921875,0
distilroberta-base,distilroberta-base,local,4,0.8,48,80,8,0.0,0.9506740196078431,0.9869791666666666,0.9505208333333334,0
distilroberta-base,distilroberta-base,local,4,1.0,48,80,8,0.125,0.860140931372549,0.9791666666666666,0.8723958333333334,1
distilroberta-base,distilroberta-base,local,4,1.2,48,80,8,0.0,0.9365808823529411,0.9869791666666666,0.9244791666666666,0
distilroberta-base,distilroberta-base,local,4,1.4,48,80,8,0.0,0.84375,0.9479166666666666,0.8697916666666666,0
distilroberta-base,distilroberta-base,local,6,0.6,48,80,8,0.125,0.7575061274509804,0.90625,0.7630208333333334,1
distilroberta-base,distilroberta-base,local,6,0.8,48,80,8,0.0,0.998468137254902,1.0,1.0,0
distilroberta-base,distilroberta-base,local,6,1.0,48,80,8,0.0,0.9719669117647058,1.0,0.9791666666666666,0
distilroberta-base,distilroberta-base,local,6,1.2,48,80,8,0.125,0.8645833333333333,0.8776041666666666,0.8671875,1
distilroberta-base,distilroberta-base,local,6,1.4,48,80,8,0.0,0.9103860294117647,0.9869791666666666,0.9114583333333334,0
distilroberta-base,distilroberta-base,local,8,0.6,48,80,8,0.0,0.914828431372549,0.9739583333333334,0.90625,0
distilroberta-base,distilroberta-base,local,8,0.8,48,80,8,0.0,0.999234068627451,1.0,1.0,0
distilroberta-base,distilroberta-base,local,8,1.0,48,80,8,0.125,0.8690257352941176,0.984375,0.875,1
distilroberta-base,distilroberta-base,local,8,1.2,48,80,8,0.125,0.8134191176470589,0.859375,0.8151041666666666,1
distilroberta-base,distilroberta-base,local,8,1.4,48,80,8,0.125,0.8408394607843137,0.8697916666666666,0.8411458333333334,1
