model,model_tag,arch,window,temp,pair,generation,hamming
distilroberta-base,distilroberta-base,local,1,0.6,0,0,1.0
distilroberta-base,distilroberta-base,local,1,0.6,0,1,2.0
distilroberta-base,distilroberta-base,local,1,0.6,0,2,3.0
distilroberta-base,distilroberta-base,local,1,0.6,0,3,6.0
distilroberta-base,distilroberta-base,local,1,0.6,0,4,9.0
distilroberta-base,distilroberta-base,local,1,0.6,0,5,12.0
distilroberta-base,distilroberta-base,local,1,0.6,0,6,17.0
distilroberta-base,distilroberta-base,local,1,0.6,0,7,19.0
distilroberta-base,distilroberta-base,local,1,0.6,0,8,13.0
distilroberta-base,distilroberta-base,local,1,0.6,0,9,13.0
distilroberta-base,distilroberta-base,local,1,0.6,0,10,16.0
distilroberta-base,distilroberta-base,local,1,0.6,0,11,17.0
distilroberta-base,distilroberta-base,local,1,0.6,0,12,15.0
distilroberta-base,distilroberta-base,local,1,0.6,0,13,16.0
distilroberta-base,distilroberta-base,local,1,0.6,0,14,16.0
distilroberta-base,distilroberta-base,local,1,0.6,0,15,19.0
distilroberta-base,distilroberta-base,local,1,0.6,0,16,17.0
distilroberta-base,distilroberta-base,local,1,0.6,0,17,20.0
distilroberta-base,distilroberta-base,local,1,0.6,0,18,24.0
distilroberta-base,distilroberta-base,local,1,0.6,0,19,26.0
distilroberta-base,distilroberta-base,local,1,0.6,0,20,28.0
distilroberta-base,distilroberta-base,local,1,0.6,0,21,25.0
distilroberta-base,distilroberta-base,local,1,0.6,0,22,21.0
distilroberta-base,distilroberta-base,local,1,0.6,0,23,23.0
distilroberta-base,distilroberta-base,local,1,0.6,0,24,23.0
distilroberta-base,distilroberta-base,local,1,0.6,0,25,22.0
distilroberta-base,distilroberta-base,local,1,0.6,0,26,21.0
distilroberta-base,distilroberta-base,local,1,0.6,0,27,22.0
distilroberta-base,distilroberta-base,local,1,0.6,0,28,22.0
distilroberta-base,distilroberta-base,local,1,0.6,0,29,21.0
distilroberta-base,distilroberta-base,local,1,0.6,0,30,16.0
