pair,init_seed,noise_seed,perturb_site,final_hamming,peak_hamming,time_to_peak,short_lam,late_damage,sustained_zero,sync_time,model,model_tag,arch,window,temp,L,steps,pairs,absorbing
0,3,11,1,21.0,29.0,61,0.3206186696826921,0.4571078431372549,0,,distilroberta-base,distilroberta-base,local,1,0.6,48,80,8,0
1,5003,5011,8,0.0,26.0,14,0.354151668007027,0.041666666666666664,0,78,distilroberta-base,distilroberta-base,local,1,0.6,48,80,8,0
2,10003,10011,15,0.0,2.0,3,0.23104906018664842,0.0,1,28,distilroberta-base,distilroberta-base,local,1,0.6,48,80,8,0
3,15003,15011,22,0.0,2.0,4,0.17328679513998632,0.0,1,11,distilroberta-base,distilroberta-base,local,1,0.6,48,80,8,0
4,20003,20011,29,0.0,2.0,2,0.34657359027997264,0.0,1,23,distilroberta-base,distilroberta-base,local,1,0.6,48,80,8,0
5,25003,25011,36,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,1,0.6,48,80,8,0
6,30003,30011,43,0.0,2.0,5,0.13862943611198905,0.0,1,9,distilroberta-base,distilroberta-base,local,1,0.6,48,80,8,0
7,35003,35011,2,0.0,10.0,4,0.5756462732485115,0.0,1,13,distilroberta-base,distilroberta-base,local,1,0.6,48,80,8,0
0,3,11,1,0.0,16.0,11,0.3298821662019073,0.0,1,41,distilroberta-base,distilroberta-base,local,1,0.8,48,80,8,0
1,5003,5011,8,0.0,2.0,1,0.6931471805599453,0.0,1,5,distilroberta-base,distilroberta-base,local,1,0.8,48,80,8,0
2,10003,10011,15,0.0,1.0,0,0.0,0.0,1,2,distilroberta-base,distilroberta-base,local,1,0.8,48,80,8,0
3,15003,15011,22,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,1,0.8,48,80,8,0
4,20003,20011,29,0.0,2.0,2,0.34657359027997264,0.0,1,6,distilroberta-base,distilroberta-base,local,1,0.8,48,80,8,0
5,25003,25011,36,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,1,0.8,48,80,8,0
6,30003,30011,43,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,1,0.8,48,80,8,0
7,35003,35011,2,0.0,10.0,1,2.302585092994046,0.0,1,16,distilroberta-base,distilroberta-base,local,1,0.8,48,80,8,0
0,3,11,1,0.0,15.0,39,0.31061333122350004,0.0,1,52,distilroberta-base,distilroberta-base,local,1,1.0,48,80,8,0
1,5003,5011,8,0.0,4.0,1,1.3862943611198906,0.0,1,20,distilroberta-base,distilroberta-base,local,1,1.0,48,80,8,0
2,10003,10011,15,0.0,1.0,0,0.0,0.0,1,3,distilroberta-base,distilroberta-base,local,1,1.0,48,80,8,0
3,15003,15011,22,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,1,1.0,48,80,8,0
4,20003,20011,29,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,1,1.0,48,80,8,0
5,25003,25011,36,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,1,1.0,48,80,8,0
6,30003,30011,43,0.0,1.0,0,0.0,0.0,1,2,distilroberta-base,distilroberta-base,local,1,1.0,48,80,8,0
