model,model_tag,arch,window,temp,L,steps,pairs,p_sync,late_damage,peak_damage,final_damage,sync_count
distilroberta-base,distilroberta-base,local,2,0.5,48,100,16,0.125,0.4884052579365079,0.6549479166666666,0.5065104166666666,2
distilroberta-base,distilroberta-base,local,2,0.6,48,100,16,0.1875,0.5187251984126984,0.6328125,0.5026041666666666,3
distilroberta-base,distilroberta-base,local,2,0.7,48,100,16,0.25,0.4569072420634921,0.5807291666666666,0.4635416666666667,4
distilroberta-base,distilroberta-base,local,2,0.8,48,100,16,0.25,0.45727926587301587,0.5755208333333334,0.4466145833333333,4
distilroberta-base,distilroberta-base,local,2,0.9,48,100,16,0.3125,0.3568328373015873,0.4713541666666667,0.3580729166666667,5
distilroberta-base,distilroberta-base,local,2,1.0,48,100,16,0.4375,0.2483878968253968,0.3658854166666667,0.22786458333333334,7
distilroberta-base,distilroberta-base,local,2,1.1,48,100,16,0.625,0.1314484126984127,0.2721354166666667,0.10807291666666667,10
distilroberta-base,distilroberta-base,local,2,1.2,48,100,16,0.6875,0.10224454365079365,0.20963541666666666,0.08984375,11
distilroberta-base,distilroberta-base,local,2,1.3,48,100,16,0.875,0.03342013888888889,0.1328125,0.0234375,14
distilroberta-base,distilroberta-base,local,2,1.4,48,100,16,1.0,0.0,0.11848958333333333,0.0,16
distilroberta-base,distilroberta-base,local,2,1.5,48,100,16,1.0,0.002170138888888889,0.08463541666666667,0.0,16
