model,model_tag,arch,window,temp,pair,generation,hamming
distilroberta-base,distilroberta-base,local,2,0.5,0,0,1.0
distilroberta-base,distilroberta-base,local,2,0.5,0,1,9.0
distilroberta-base,distilroberta-base,local,2,0.5,0,2,16.0
distilroberta-base,distilroberta-base,local,2,0.5,0,3,26.0
distilroberta-base,distilroberta-base,local,2,0.5,0,4,30.0
distilroberta-base,distilroberta-base,local,2,0.5,0,5,24.0
distilroberta-base,distilroberta-base,local,2,0.5,0,6,27.0
distilroberta-base,distilroberta-base,local,2,0.5,0,7,25.0
distilroberta-base,distilroberta-base,local,2,0.5,0,8,25.0
distilroberta-base,distilroberta-base,local,2,0.5,0,9,32.0
distilroberta-base,distilroberta-base,local,2,0.5,0,10,29.0
distilroberta-base,distilroberta-base,local,2,0.5,0,11,31.0
distilroberta-base,distilroberta-base,local,2,0.5,0,12,31.0
distilroberta-base,distilroberta-base,local,2,0.5,0,13,38.0
distilroberta-base,distilroberta-base,local,2,0.5,0,14,31.0
distilroberta-base,distilroberta-base,local,2,0.5,0,15,34.0
distilroberta-base,distilroberta-base,local,2,0.5,0,16,35.0
distilroberta-base,distilroberta-base,local,2,0.5,0,17,35.0
distilroberta-base,distilroberta-base,local,2,0.5,0,18,37.0
distilroberta-base,distilroberta-base,local,2,0.5,0,19,36.0
distilroberta-base,distilroberta-base,local,2,0.5,0,20,35.0
distilroberta-base,distilroberta-base,local,2,0.5,0,21,32.0
distilroberta-base,distilroberta-base,local,2,0.5,0,22,29.0
distilroberta-base,distilroberta-base,local,2,0.5,0,23,30.0
distilroberta-base,distilroberta-base,local,2,0.5,0,24,31.0
distilroberta-base,distilroberta-base,local,2,0.5,0,25,31.0
distilroberta-base,distilroberta-base,local,2,0.5,0,26,29.0
distilroberta-base,distilroberta-base,local,2,0.5,0,27,32.0
distilroberta-base,distilroberta-base,local,2,0.5,0,28,31.0
distilroberta-base,distilroberta-base,local,2,0.5,0,29,32.0
distilroberta-base,distilroberta-base,local,2,0.5,0,30,36.0
distilroberta-base,distilroberta-base,local,2,0.5,0,31,29.0
distilroberta-base,distilroberta-base,local,2,0.5,0,32,32.0
distilroberta-base,distilroberta-base,local,2,0.5,0,33,30.0
distilroberta-base,distilroberta-base,local,2,0.5,0,34,30.0
distilroberta-base,distilroberta-base,local,2,0.5,0,35,31.0
distilroberta-base,distilroberta-base,local,2,0.5,0,36,30.0
distilroberta-base,distilroberta-base,local,2,0.5,0,37,29.0
distilroberta-base,distilroberta-base,local,2,0.5,0,38,28.0
distilroberta-base,distilroberta-base,local,2,0.5,0,39,31.0
distilroberta-base,distilroberta-base,local,2,0.5,0,40,30.0
distilroberta-base,distilroberta-base,local,2,0.5,0,41,29.0
