pair,init_seed,noise_seed,perturb_site,final_hamming,peak_hamming,time_to_peak,short_lam,late_damage,sustained_zero,sync_time,model,model_tag,arch,window,temp,L,steps,pairs,absorbing
0,3,11,1,34.0,38.0,13,0.3367295829986474,0.6299603174603174,0,,distilroberta-base,distilroberta-base,local,2,0.5,48,100,16,0
1,5003,5011,8,21.0,38.0,19,0.34965075614664803,0.37996031746031744,0,,distilroberta-base,distilroberta-base,local,2,0.5,48,100,16,0
2,10003,10011,15,35.0,37.0,45,0.20794415416798356,0.6537698412698413,0,,distilroberta-base,distilroberta-base,local,2,0.5,48,100,16,0
3,15003,15011,22,27.0,29.0,93,0.13862943611198905,0.5188492063492064,0,,distilroberta-base,distilroberta-base,local,2,0.5,48,100,16,0
4,20003,20011,29,0.0,1.0,0,0.0,0.0,1,4,distilroberta-base,distilroberta-base,local,2,0.5,48,100,16,0
5,25003,25011,36,31.0,35.0,55,0.20794415416798356,0.5882936507936508,0,,distilroberta-base,distilroberta-base,local,2,0.5,48,100,16,0
6,30003,30011,43,18.0,39.0,30,0.29444389791664405,0.5178571428571429,0,,distilroberta-base,distilroberta-base,local,2,0.5,48,100,16,0
7,35003,35011,2,36.0,41.0,23,0.358351893845611,0.7182539682539683,0,,distilroberta-base,distilroberta-base,local,2,0.5,48,100,16,0
8,40003,40011,9,25.0,38.0,10,0.3637586159726386,0.39285714285714285,0,,distilroberta-base,distilroberta-base,local,2,0.5,48,100,16,0
9,45003,45011,16,30.0,35.0,56,0.2833213344056216,0.6577380952380952,0,,distilroberta-base,distilroberta-base,local,2,0.5,48,100,16,0
10,50003,50011,23,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,0.5,48,100,16,0
11,55003,55011,30,28.0,32.0,32,0.2772588722239781,0.5089285714285714,0,,distilroberta-base,distilroberta-base,local,2,0.5,48,100,16,0
12,60003,60011,37,26.0,32.0,96,0.23978952727983707,0.558531746031746,0,,distilroberta-base,distilroberta-base,local,2,0.5,48,100,16,0
13,65003,65011,44,27.0,31.0,18,0.32188758248682003,0.5347222222222222,0,,distilroberta-base,distilroberta-base,local,2,0.5,48,100,16,0
14,70003,70011,3,23.0,40.0,18,0.358351893845611,0.5843253968253969,0,,distilroberta-base,distilroberta-base,local,2,0.5,48,100,16,0
15,75003,75011,10,28.0,36.0,46,0.2772588722239781,0.5704365079365079,0,,distilroberta-base,distilroberta-base,local,2,0.5,48,100,16,0
0,3,11,1,27.0,34.0,75,0.3433987204485146,0.548611111111111,0,,distilroberta-base,distilroberta-base,local,2,0.6,48,100,16,0
1,5003,5011,8,33.0,37.0,81,0.3433987204485146,0.6418650793650794,0,,distilroberta-base,distilroberta-base,local,2,0.6,48,100,16,0
2,10003,10011,15,19.0,37.0,22,0.3044522437723423,0.44047619047619047,0,,distilroberta-base,distilroberta-base,local,2,0.6,48,100,16,0
3,15003,15011,22,29.0,36.0,20,0.20794415416798356,0.5932539682539683,0,,distilroberta-base,distilroberta-base,local,2,0.6,48,100,16,0
4,20003,20011,29,27.0,36.0,64,0.270805020110221,0.6190476190476191,0,,distilroberta-base,distilroberta-base,local,2,0.6,48,100,16,0
5,25003,25011,36,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,0.6,48,100,16,0
6,30003,30011,43,26.0,37.0,21,0.3044522437723423,0.5863095238095238,0,,distilroberta-base,distilroberta-base,local,2,0.6,48,100,16,0
7,35003,35011,2,40.0,41.0,47,0.358351893845611,0.8204365079365079,0,,distilroberta-base,distilroberta-base,local,2,0.6,48,100,16,0
8,40003,40011,9,26.0,38.0,11,0.3610917912644224,0.6299603174603174,0,,distilroberta-base,distilroberta-base,local,2,0.6,48,100,16,0
9,45003,45011,16,31.0,37.0,32,0.3295836866004329,0.6934523809523809,0,,distilroberta-base,distilroberta-base,local,2,0.6,48,100,16,0
10,50003,50011,23,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,0.6,48,100,16,0
11,55003,55011,30,32.0,36.0,81,0.2564949357461537,0.6121031746031745,0,,distilroberta-base,distilroberta-base,local,2,0.6,48,100,16,0
12,60003,60011,37,33.0,39.0,89,0.23978952727983707,0.7321428571428572,0,,distilroberta-base,distilroberta-base,local,2,0.6,48,100,16,0
13,65003,65011,44,0.0,1.0,0,0.0,0.0,1,2,distilroberta-base,distilroberta-base,local,2,0.6,48,100,16,0
14,70003,70011,3,30.0,39.0,88,0.34011973816621555,0.7182539682539683,0,,distilroberta-base,distilroberta-base,local,2,0.6,48,100,16,0
15,75003,75011,10,33.0,36.0,80,0.3258096538021482,0.6636904761904762,0,,distilroberta-base,distilroberta-base,local,2,0.6,48,100,16,0
