null,temp,L,steps,pair,init_seed,noise_seed,perturb_site,short_lam,peak_hamming,time_to_peak,final_hamming,exact_synchronized,sync_step
iid_uniform_v16,1.0,48,80,0,3,11,1,0.0,1.0,0,0.0,1,1
iid_uniform_v16,1.0,48,80,1,5003,5011,8,0.0,1.0,0,0.0,1,1
iid_uniform_v16,1.0,48,80,2,10003,10011,15,0.0,1.0,0,0.0,1,1
iid_uniform_v16,1.0,48,80,3,15003,15011,22,0.0,1.0,0,0.0,1,1
iid_uniform_v16,1.0,48,80,4,20003,20011,29,0.0,1.0,0,0.0,1,1
iid_uniform_v16,1.0,48,80,5,25003,25011,36,0.0,1.0,0,0.0,1,1
iid_uniform_v16,1.0,48,80,6,30003,30011,43,0.0,1.0,0,0.0,1,1
iid_uniform_v16,1.0,48,80,7,35003,35011,2,0.0,1.0,0,0.0,1,1
iid_uniform_v16,1.0,48,80,8,40003,40011,9,0.0,1.0,0,0.0,1,1
iid_uniform_v16,1.0,48,80,9,45003,45011,16,0.0,1.0,0,0.0,1,1
iid_uniform_v16,1.0,48,80,10,50003,50011,23,0.0,1.0,0,0.0,1,1
iid_uniform_v16,1.0,48,80,11,55003,55011,30,0.0,1.0,0,0.0,1,1
iid_uniform_v16,1.0,48,80,12,60003,60011,37,0.0,1.0,0,0.0,1,1
iid_uniform_v16,1.0,48,80,13,65003,65011,44,0.0,1.0,0,0.0,1,1
iid_uniform_v16,1.0,48,80,14,70003,70011,3,0.0,1.0,0,0.0,1,1
iid_uniform_v16,1.0,48,80,15,75003,75011,10,0.0,1.0,0,0.0,1,1
bernoulli_p0.5,1.0,48,80,0,3,11,1,0.0,1.0,0,0.0,1,1
bernoulli_p0.5,1.0,48,80,1,5003,5011,8,0.0,1.0,0,0.0,1,1
bernoulli_p0.5,1.0,48,80,2,10003,10011,15,0.0,1.0,0,0.0,1,1
bernoulli_p0.5,1.0,48,80,3,15003,15011,22,0.0,1.0,0,0.0,1,1
bernoulli_p0.5,1.0,48,80,4,20003,20011,29,0.0,1.0,0,0.0,1,1
bernoulli_p0.5,1.0,48,80,5,25003,25011,36,0.0,1.0,0,0.0,1,1
bernoulli_p0.5,1.0,48,80,6,30003,30011,43,0.0,1.0,0,0.0,1,1
bernoulli_p0.5,1.0,48,80,7,35003,35011,2,0.0,1.0,0,0.0,1,1
bernoulli_p0.5,1.0,48,80,8,40003,40011,9,0.0,1.0,0,0.0,1,1
bernoulli_p0.5,1.0,48,80,9,45003,45011,16,0.0,1.0,0,0.0,1,1
bernoulli_p0.5,1.0,48,80,10,50003,50011,23,0.0,1.0,0,0.0,1,1
bernoulli_p0.5,1.0,48,80,11,55003,55011,30,0.0,1.0,0,0.0,1,1
bernoulli_p0.5,1.0,48,80,12,60003,60011,37,0.0,1.0,0,0.0,1,1
bernoulli_p0.5,1.0,48,80,13,65003,65011,44,0.0,1.0,0,0.0,1,1
bernoulli_p0.5,1.0,48,80,14,70003,70011,3,0.0,1.0,0,0.0,1,1
bernoulli_p0.5,1.0,48,80,15,75003,75011,10,0.0,1.0,0,0.0,1,1
bernoulli_p0.5_absorbing_local_r1,1.0,48,80,0,3,11,1,0.0,1.0,0,0.0,1,3
bernoulli_p0.5_absorbing_local_r1,1.0,48,80,1,5003,5011,8,0.0,1.0,0,0.0,1,1
bernoulli_p0.5_absorbing_local_r1,1.0,48,80,2,10003,10011,15,0.0,1.0,0,0.0,1,1
bernoulli_p0.5_absorbing_local_r1,1.0,48,80,3,15003,15011,22,0.0,1.0,0,0.0,1,1
bernoulli_p0.5_absorbing_local_r1,1.0,48,80,4,20003,20011,29,0.0,1.0,0,0.0,1,1
bernoulli_p0.5_absorbing_local_r1,1.0,48,80,5,25003,25011,36,0.0,1.0,0,0.0,1,1
bernoulli_p0.5_absorbing_local_r1,1.0,48,80,6,30003,30011,43,0.0,1.0,0,0.0,1,1
bernoulli_p0.5_absorbing_local_r1,1.0,48,80,7,35003,35011,2,0.0,1.0,0,0.0,1,1
bernoulli_p0.5_absorbing_local_r1,1.0,48,80,8,40003,40011,9,0.0,1.0,0,0.0,1,3
bernoulli_p0.5_absorbing_local_r1,1.0,48,80,9,45003,45011,16,0.0,1.0,0,0.0,1,1
bernoulli_p0.5_absorbing_local_r1,1.0,48,80,10,50003,50011,23,0.0,1.0,0,0.0,1,1
bernoulli_p0.5_absorbing_local_r1,1.0,48,80,11,55003,55011,30,0.0,1.0,0,0.0,1,1
bernoulli_p0.5_absorbing_local_r1,1.0,48,80,12,60003,60011,37,0.34657359027997264,2.0,2,0.0,1,3
bernoulli_p0.5_absorbing_local_r1,1.0,48,80,13,65003,65011,44,0.0,1.0,0,0.0,1,1
bernoulli_p0.5_absorbing_local_r1,1.0,48,80,14,70003,70011,3,0.0,1.0,0,0.0,1,1
bernoulli_p0.5_absorbing_local_r1,1.0,48,80,15,75003,75011,10,0.0,1.0,0,0.0,1,1
