generation,hamming
0,1.0
1,5.0
2,10.0
3,12.0
4,16.0
5,22.0
6,26.0
7,32.0
8,39.0
9,42.0
10,43.0
11,45.0
12,42.0
13,44.0
14,45.0
15,46.0
16,42.0
17,44.0
18,46.0
19,48.0
20,47.0
21,47.0
22,48.0
23,48.0
24,47.0
25,48.0
26,47.0
27,46.0
28,48.0
29,48.0
30,46.0
31,48.0
32,45.0
33,46.0
34,47.0
35,46.0
36,46.0
37,45.0
38,46.0
39,43.0
40,43.0
41,45.0
42,46.0
43,45.0
44,43.0
45,43.0
46,45.0
47,44.0
48,46.0
49,48.0
50,47.0
51,46.0
52,46.0
53,48.0
54,46.0
55,46.0
56,47.0
57,46.0
58,46.0
59,47.0
60,46.0
61,47.0
62,46.0
63,47.0
64,46.0
65,47.0
66,47.0
67,47.0
68,48.0
69,47.0
70,48.0
71,47.0
72,48.0
73,47.0
74,48.0
75,48.0
76,48.0
77,48.0
78,47.0
79,48.0
80,48.0
