generation,hamming
0,1.0
1,1.0
2,5.0
3,9.0
4,15.0
5,17.0
6,21.0
7,21.0
8,26.0
9,34.0
10,36.0
11,40.0
12,37.0
13,35.0
14,34.0
15,33.0
16,34.0
17,34.0
18,33.0
19,33.0
20,31.0
21,30.0
22,32.0
23,32.0
24,30.0
25,29.0
26,29.0
27,30.0
28,28.0
29,26.0
30,25.0
31,23.0
32,22.0
33,21.0
34,23.0
35,23.0
36,23.0
37,19.0
38,18.0
39,16.0
40,16.0
41,15.0
42,14.0
43,15.0
44,13.0
45,12.0
46,13.0
47,11.0
48,11.0
49,10.0
50,9.0
51,8.0
52,8.0
53,9.0
54,8.0
55,2.0
56,1.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
