generation,hamming
0,1.0
1,6.0
2,23.0
3,31.0
4,36.0
5,37.0
6,41.0
7,44.0
8,47.0
9,48.0
10,48.0
11,48.0
12,48.0
13,48.0
14,48.0
15,48.0
16,48.0
17,48.0
18,48.0
19,48.0
20,48.0
21,48.0
22,48.0
23,48.0
24,48.0
25,48.0
26,48.0
27,48.0
28,48.0
29,48.0
30,48.0
31,48.0
32,48.0
33,48.0
34,48.0
35,48.0
36,48.0
37,48.0
38,48.0
39,48.0
40,48.0
41,48.0
42,48.0
43,48.0
44,48.0
45,48.0
46,48.0
47,48.0
48,48.0
49,48.0
50,48.0
51,48.0
52,48.0
53,48.0
54,48.0
55,48.0
56,48.0
57,48.0
58,48.0
59,48.0
60,48.0
61,48.0
62,48.0
63,48.0
64,48.0
65,48.0
66,48.0
67,48.0
68,48.0
69,48.0
70,48.0
71,48.0
72,48.0
73,48.0
74,48.0
75,48.0
76,48.0
77,48.0
78,48.0
79,48.0
80,48.0
