n_in,temp,n_reservoir,init_hamming,peak_hamming,late_hamming,late_frac,sync_fraction,t_sync,verdict
1,0.3,47,41.0,41.0,0.0,0.0,1.0,68,ESP
1,0.5,47,40.25,40.25,0.0,0.0,1.0,46,ESP
1,0.7,47,39.75,39.75,0.0,0.0,1.0,34,ESP
1,0.9,47,36.5,36.5,0.0,0.0,1.0,38,ESP
1,1.1,47,32.0,32.0,0.0,0.0,1.0,28,ESP
2,0.3,46,41.0,41.0,0.0,0.0,1.0,87,ESP
2,0.5,46,39.75,39.75,0.0,0.0,1.0,40,ESP
2,0.7,46,39.25,39.25,0.0,0.0,1.0,71,ESP
2,0.9,46,33.75,33.75,0.0,0.0,1.0,40,ESP
2,1.1,46,31.75,31.75,0.0,0.0,1.0,33,ESP
3,0.3,45,40.0,40.0,0.0,0.0,1.0,35,ESP
3,0.5,45,39.0,39.0,0.0,0.0,1.0,45,ESP
3,0.7,45,37.75,37.75,0.0,0.0,1.0,61,ESP
3,0.9,45,33.0,33.0,0.0,0.0,1.0,34,ESP
3,1.1,45,31.75,31.75,0.0,0.0,1.0,31,ESP
