system,degree,config,capacity,capacity_thr
reservoir_T0.3,1,"((0, 1),)",0.2653697515741025,0.2653697515741025
reservoir_T0.3,2,"((0, 2),)",0.15452263855263604,0.15452263855263604
reservoir_T0.3,3,"((0, 3),)",0.179651833598103,0.179651833598103
reservoir_T0.3,4,"((0, 4),)",0.04266887314563472,0.04266887314563472
reservoir_T0.3,1,"((1, 1),)",0.013142297568992656,0.013142297568992656
reservoir_T0.3,2,"((1, 2),)",0.0,0.0
reservoir_T0.3,3,"((1, 3),)",0.0,0.0
reservoir_T0.3,4,"((1, 4),)",0.0,0.0
reservoir_T0.3,1,"((2, 1),)",0.0,0.0
reservoir_T0.3,2,"((2, 2),)",0.0,0.0
reservoir_T0.3,3,"((2, 3),)",0.0,0.0
reservoir_T0.3,4,"((2, 4),)",0.0,0.0
reservoir_T0.3,1,"((3, 1),)",0.0,0.0
reservoir_T0.3,2,"((3, 2),)",0.0,0.0
reservoir_T0.3,3,"((3, 3),)",0.0,0.0
reservoir_T0.3,4,"((3, 4),)",0.0,0.0
reservoir_T0.3,1,"((4, 1),)",0.0,0.0
reservoir_T0.3,2,"((4, 2),)",0.0,0.0
reservoir_T0.3,3,"((4, 3),)",0.0,0.0
reservoir_T0.3,4,"((4, 4),)",0.0,0.0
reservoir_T0.3,1,"((5, 1),)",0.0,0.0
reservoir_T0.3,2,"((5, 2),)",0.0,0.0
reservoir_T0.3,3,"((5, 3),)",0.0,0.0
reservoir_T0.3,4,"((5, 4),)",0.0,0.0
reservoir_T0.3,1,"((6, 1),)",0.0,0.0
reservoir_T0.3,2,"((6, 2),)",0.0,0.0
reservoir_T0.3,3,"((6, 3),)",0.0,0.0
reservoir_T0.3,4,"((6, 4),)",0.0,0.0
reservoir_T0.3,1,"((7, 1),)",0.0,0.0
reservoir_T0.3,2,"((7, 2),)",0.0,0.0
reservoir_T0.3,3,"((7, 3),)",0.0,0.0
reservoir_T0.3,4,"((7, 4),)",0.0,0.0
reservoir_T0.3,1,"((8, 1),)",0.0,0.0
reservoir_T0.3,2,"((8, 2),)",0.0,0.0
reservoir_T0.3,3,"((8, 3),)",0.0,0.0
reservoir_T0.3,4,"((8, 4),)",0.0,0.0
reservoir_T0.3,2,"((0, 1), (1, 1))",0.0,0.0
reservoir_T0.3,3,"((0, 1), (1, 2))",0.0,0.0
reservoir_T0.3,4,"((0, 1), (1, 3))",0.0,0.0
reservoir_T0.3,3,"((0, 2), (1, 1))",0.0,0.0
reservoir_T0.3,4,"((0, 2), (1, 2))",0.0,0.0
reservoir_T0.3,4,"((0, 3), (1, 1))",0.0,0.0
reservoir_T0.3,2,"((0, 1), (2, 1))",0.0,0.0
reservoir_T0.3,3,"((0, 1), (2, 2))",0.0,0.0
reservoir_T0.3,4,"((0, 1), (2, 3))",0.0,0.0
reservoir_T0.3,3,"((0, 2), (2, 1))",0.0,0.0
reservoir_T0.3,4,"((0, 2), (2, 2))",0.0,0.0
reservoir_T0.3,4,"((0, 3), (2, 1))",0.0,0.0
reservoir_T0.3,2,"((0, 1), (3, 1))",0.0,0.0
reservoir_T0.3,3,"((0, 1), (3, 2))",0.0,0.0
reservoir_T0.3,4,"((0, 1), (3, 3))",0.0,0.0
reservoir_T0.3,3,"((0, 2), (3, 1))",0.0,0.0
reservoir_T0.3,4,"((0, 2), (3, 2))",0.0,0.0
reservoir_T0.3,4,"((0, 3), (3, 1))",0.0,0.0
reservoir_T0.3,2,"((0, 1), (4, 1))",0.0,0.0
reservoir_T0.3,3,"((0, 1), (4, 2))",0.0,0.0
reservoir_T0.3,4,"((0, 1), (4, 3))",0.0,0.0
reservoir_T0.3,3,"((0, 2), (4, 1))",0.0,0.0
reservoir_T0.3,4,"((0, 2), (4, 2))",0.0,0.0
reservoir_T0.3,4,"((0, 3), (4, 1))",0.0,0.0
reservoir_T0.3,2,"((0, 1), (5, 1))",0.0,0.0
reservoir_T0.3,3,"((0, 1), (5, 2))",0.0,0.0
reservoir_T0.3,4,"((0, 1), (5, 3))",0.0,0.0
reservoir_T0.3,3,"((0, 2), (5, 1))",0.0,0.0
reservoir_T0.3,4,"((0, 2), (5, 2))",0.0,0.0
reservoir_T0.3,4,"((0, 3), (5, 1))",0.0,0.0
reservoir_T0.3,2,"((0, 1), (6, 1))",0.0,0.0
reservoir_T0.3,3,"((0, 1), (6, 2))",0.0,0.0
reservoir_T0.3,4,"((0, 1), (6, 3))",0.0,0.0
reservoir_T0.3,3,"((0, 2), (6, 1))",0.0,0.0
reservoir_T0.3,4,"((0, 2), (6, 2))",0.0,0.0
reservoir_T0.3,4,"((0, 3), (6, 1))",0.0,0.0
reservoir_T0.3,2,"((0, 1), (7, 1))",0.0,0.0
reservoir_T0.3,3,"((0, 1), (7, 2))",0.0,0.0
reservoir_T0.3,4,"((0, 1), (7, 3))",0.0,0.0
reservoir_T0.3,3,"((0, 2), (7, 1))",0.0,0.0
reservoir_T0.3,4,"((0, 2), (7, 2))",0.0,0.0
reservoir_T0.3,4,"((0, 3), (7, 1))",0.0,0.0
reservoir_T0.3,2,"((0, 1), (8, 1))",0.0,0.0
reservoir_T0.3,3,"((0, 1), (8, 2))",0.0,0.0
reservoir_T0.3,4,"((0, 1), (8, 3))",0.0,0.0
reservoir_T0.3,3,"((0, 2), (8, 1))",0.0,0.0
reservoir_T0.3,4,"((0, 2), (8, 2))",0.0,0.0
