token,uncond_logprob,mean_survival_gen
trembling,-21.8133,0.00
shimmer,-20.9324,0.00
across,-20.7000,0.00
crimson,-20.6531,0.00
sleeping,-20.5398,0.00
yes,-20.3797,0.00
azed,-20.3504,1.00
petals,-20.3289,0.00
inspected,-20.1434,0.00
glitter,-20.1394,0.00
tide,-20.0476,0.00
destroyed,-19.9422,1.00
quiet,-19.8523,0.00
spl,-19.8289,0.00
drifted,-19.5730,0.00
freedom,-19.5076,0.00
fell,-19.3601,0.00
right,-19.2576,1.00
shadows,-19.1385,0.00
towers,-19.1014,0.00
bl,-18.9246,0.00
aby,-18.9197,1.00
velvet,-18.8748,0.00
obey,-18.6043,0.00
clear,-18.5164,0.00
begins,-18.5135,0.00
valve,-18.5008,0.00
war,-18.4646,0.00
transformed,-18.4446,0.00
left,-18.3553,0.00
constant,-18.3387,0.00
blue,-18.3040,1.50
moon,-18.2351,0.00
spilled,-18.2220,0.00
through,-18.1912,0.00
sea,-18.1731,0.00
rain,-18.1258,1.50
universe,-18.1141,1.00
peace,-18.0794,0.00
like,-18.0315,0.00
cascade,-18.0310,0.00
sky,-17.9756,0.00
be,-17.9300,1.25
ull,-17.9205,1.00
endor,-17.8999,1.00
energy,-17.6673,0.00
safety,-17.5937,0.00
or,-17.2909,0.00
golden,-17.2369,0.00
hum,-17.1961,0.00
go,-17.0371,0.00
l,-17.0288,0.00
false,-16.9363,0.00
speed,-16.8162,1.00
true,-16.8020,0.00
cannot,-16.5223,0.00
garden,-16.5174,0.00
no,-16.4969,1.50
must,-16.4246,0.00
of,-16.3016,1.75
statement,-16.2557,0.00
before,-16.2185,0.00
light,-15.9559,0.00
lit,-15.9480,0.00
slavery,-15.8680,0.00
created,-15.8670,0.00
ancient,-15.7976,0.00
operation,-15.6805,0.00
this,-15.4812,0.00
in,-15.4070,20.00
and,-15.3309,2.50
to,-14.9207,0.50
only,-14.8348,0.00
ing,-14.2703,1.50
the,-13.6746,43.00
med,-13.6277,0.00
is,-13.6258,20.00
a,-13.5203,20.50
I,-10.4812,0.00
