window,generation,support_width
1,0,3
1,1,5
1,2,7
1,3,9
1,4,11
1,5,13
1,6,15
1,7,17
1,8,19
1,9,21
1,10,23
1,11,25
1,12,27
1,13,29
1,14,31
1,15,33
1,16,35
1,17,37
1,18,39
1,19,40
1,20,42
1,21,44
1,22,46
1,23,48
1,24,50
1,25,52
1,26,54
1,27,56
1,28,58
1,29,60
1,30,62
1,31,64
1,32,64
1,33,64
1,34,63
1,35,63
1,36,63
1,37,62
1,38,64
1,39,63
1,40,64
1,41,63
1,42,64
1,43,63
1,44,63
1,45,62
1,46,64
1,47,63
1,48,64
1,49,63
1,50,64
1,51,63
1,52,63
1,53,62
1,54,64
1,55,63
1,56,64
1,57,63
1,58,64
1,59,63
1,60,63
1,61,62
1,62,64
1,63,63
1,64,64
1,65,63
1,66,64
1,67,63
1,68,63
1,69,62
1,70,64
1,71,63
1,72,64
1,73,63
1,74,64
1,75,63
1,76,63
1,77,62
1,78,64
1,79,63
1,80,64
1,81,63
1,82,64
1,83,63
1,84,63
1,85,62
1,86,64
1,87,63
1,88,64
1,89,63
1,90,64
1,91,63
1,92,63
1,93,62
1,94,64
1,95,63
1,96,64
2,0,3
2,1,7
2,2,11
2,3,14
2,4,17
2,5,19
2,6,21
2,7,23
2,8,25
2,9,27
2,10,29
2,11,31
2,12,33
2,13,35
2,14,37
2,15,39
2,16,41
2,17,43
2,18,47
2,19,51
2,20,54
2,21,58
2,22,62
2,23,63
2,24,64
2,25,64
2,26,64
2,27,64
2,28,63
2,29,64
2,30,64
2,31,64
2,32,64
2,33,64
2,34,64
2,35,64
2,36,64
2,37,63
2,38,64
2,39,64
2,40,64
2,41,64
2,42,64
2,43,64
2,44,64
2,45,64
2,46,64
2,47,64
2,48,64
2,49,64
2,50,64
2,51,64
2,52,64
2,53,64
2,54,64
2,55,64
2,56,64
2,57,64
2,58,64
2,59,64
2,60,64
2,61,64
2,62,64
2,63,64
2,64,64
2,65,64
2,66,64
2,67,64
2,68,64
2,69,64
2,70,64
2,71,64
2,72,64
2,73,64
2,74,64
2,75,64
2,76,64
2,77,64
2,78,64
2,79,64
2,80,64
2,81,64
2,82,64
2,83,64
2,84,64
2,85,64
2,86,64
2,87,64
2,88,64
2,89,64
2,90,64
2,91,64
2,92,64
2,93,64
2,94,64
2,95,64
2,96,64
4,0,3
4,1,11
4,2,19
4,3,27
4,4,35
4,5,43
4,6,51
4,7,59
4,8,61
4,9,61
4,10,61
4,11,62
4,12,62
4,13,62
4,14,62
4,15,62
4,16,62
4,17,64
4,18,64
4,19,62
4,20,64
4,21,64
4,22,64
4,23,64
4,24,62
4,25,62
4,26,64
4,27,64
4,28,64
4,29,64
4,30,64
4,31,63
4,32,64
4,33,64
4,34,64
4,35,64
4,36,64
4,37,64
4,38,64
4,39,64
4,40,64
4,41,64
4,42,64
4,43,64
4,44,64
4,45,64
4,46,64
4,47,64
4,48,64
4,49,64
4,50,64
4,51,64
4,52,64
4,53,64
4,54,64
4,55,64
4,56,64
4,57,64
4,58,64
4,59,64
4,60,64
4,61,64
4,62,64
4,63,64
4,64,64
4,65,64
4,66,64
4,67,64
4,68,64
4,69,64
4,70,64
4,71,64
4,72,64
4,73,64
4,74,64
4,75,64
4,76,64
4,77,64
4,78,64
4,79,64
4,80,64
4,81,64
4,82,64
4,83,64
4,84,64
4,85,64
4,86,64
4,87,64
4,88,64
4,89,64
4,90,64
4,91,64
4,92,64
4,93,64
4,94,64
4,95,64
4,96,64
