# {'device': 'cpu', 'vocab': 50265, 'dead_token': 49652, 'dead_token_str': "'Advertisements'", 'arch': 'local', 'model': 'distilroberta-base', 'window': 2, 'freq_penalty': 0.0}
# dead token 49652 = 'Advertisements' shown as '.'
g   0 | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . borrowin . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
g   1 | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . </s> </s> . </s> </s> . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
g   2 | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . </s> </s> </s> _ . </s> </s> </s> _ . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
g   3 | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . </s> </s> </s> </s> . </s> . </s> </s> . </s> </s> _ . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
g   4 | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . </s> </s> </s> </s> . </s> . . </s> . . . </s> Related </s> </s> _ . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
g   5 | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . </s> </s> </s> </s> . </s> . . _ </s> . </s> _ </s> . </s> Stories comments </s> </s> _ . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
g   6 | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . </s> </s> </s> </s> . </s> . . _ Related </s> </s> . Related </s> </s> . . . Edit » Related </s> </s> _ . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
g   7 | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . </s> </s> </s> </s> . </s> . . _ </s> : comments Links _ × </s> Links </s> </s> _ « . . </s> Articles comments </s> </s> _ . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
g   8 | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . </s> </s> </s> </s> . </s> . . _ Related </s> Tags _ Related . . Comments . . . Comments » </s> _ » . . Edit » Related </s> </s> _ . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
g   9 | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . </s> </s> </s> </s> . </s> . . _ </s> : comments _ Comments . . </s> </s> . </s> </s> « </s> </s> » « </s> _ « . . </s> Articles comments </s> </s> _ . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
g  10 | . . . . . . . . . . . . . . . . . . . . . . . . . . . </s> </s> </s> </s> . </s> . . _ Related </s> Tags </s> Tweet . . _ </s> </s> _ . » » . . . . Comments » » </s> _ » . . Edit » Related </s> </s> _ . . . . . . . . . . . . . . . . . . . . . . . . . . . .
g  11 | . . . . . . . . . . . . . . . . . . . . . . . . . </s> </s> </s> </s> . </s> . . _ </s> : comments _ Share . . _ Share </s> comments Related </s> Comments « </s> </s> </s> </s> « . . » » « </s> _ « . . </s> Articles comments </s> </s> _ . . . . . . . . . . . . . . . . . . . . . . . . . .
g  12 | . . . . . . . . . . . . . . . . . . . . . . . </s> </s> </s> </s> . </s> . . _ Related </s> Tags </s> Tweet . . _ </s> Tweet Comments </s> _ . . </s> . . » » » </s> _ Continue . . » » » </s> _ » . . Edit » Related </s> </s> _ . . . . . . . . . . . . . . . . . . . . . . . .
