# {'device': 'cpu', 'vocab': 151669, 'dead_token': 220, 'dead_token_str': "' '", 'arch': 'mlx', 'model': 'prism-ml/Ternary-Bonsai-8B-mlx-2bit', 'freq_penalty': 0.0}
# dead token 220 = ' ' shown as '.'
g   0 | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . '': . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
g   1 | . 1 , , . . , , , , , , , , . . , , , , ) ) ) . . . . ) ) ) ) ) ) ) , ) ) ) ) ) ) ) ) ) ) ) . . _ # 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 . . . . 1 1 1 . . . . . . . . . . . . . . . . . . . . . .
g   2 | . 1 0 . . 2 2 . . . . . . . . , 1 . . . . . = . # 1 1 1 . . . . . . . . . . . . . . . . . . . . 1 . . , 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 . 1 1 1 1 1 1 . 1 1 1 1 1 1 1 1 1 1 1 . . . . . . . . .
g   3 | . 1 0 0 1 1 0 . . 2 2 2 1 1 1 1 . 0 . 2 2 2 2 . . . . . 1 . 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 . . . 1 . . . . . 1 . 1 1 1 1 1 1 1 1 1 1 1 1 1 . 1 1 1 1 1 1 . 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
g   4 | . 1 0 0 0 0 1 1 1 1 0 2 2 1 1 . 1 . 0 . 2 2 1 2 2 2 2 2 2 0 . 0 1 1 1 1 . . 1 1 1 1 1 1 1 1 . 1 1 . 1 1 1 1 1 . . 1 1 1 1 1 1 1 1 1 1 1 1 1 . . 1 1 1 1 1 . 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
g   5 | . 1 0 0 0 0 0 0 1 1 1 0 1 2 1 1 1 0 1 . 0 . 1 1 2 1 2 2 2 2 0 1 . 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 . 1 1 1 1 1 . 1 1 1 1 1 1 . 1 1 1 1 1 1 1 1 1 1 1 1 . 1 1 1 1
g   6 | . 1 0 0 0 0 0 0 0 0 1 1 0 1 1 1 1 1 1 1 1 1 0 . 1 1 1 1 1 2 2 0 1 0 1 2 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 . 1 1 1 1 1 1 1 1 . 1 1 1 1 1 1 1 1 1
g   7 | . 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 2 2 0 1 0 0 2 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 .
g   8 | . 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 1 1 0 1 1 1 1 1 1 2 0 0 1 0 0 0 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1
g   9 | . 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 1 1 1 1 1 0 0 0 1 0 0 0 0 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1
g  10 | . 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 1 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1
